tweet_id,timestamp,source,expanded_urls,rating_numerator,rating_denominator,name,Month,year,year_month,stage,dog_categroy,retweet_count,favorite_count
892420643555336193,2017-08-01 16:23:56,Twitter for iPhone,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,Phineas,8,2017,2017-08,None,None,7386,35096
892177421306343426,2017-08-01 00:17:27,Twitter for iPhone,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,8,2017,2017-08,None,Chihuahua,5501,30384
891815181378084864,2017-07-31 00:18:03,Twitter for iPhone,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,7,2017,2017-07,None,Chihuahua,3635,22847
891689557279858688,2017-07-30 15:58:51,Twitter for iPhone,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,7,2017,2017-07,None,Labrador_retriever,7563,38366
891327558926688256,2017-07-29 16:00:24,Twitter for iPhone,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,7,2017,2017-07,None,basset,8147,36643
891087950875897856,2017-07-29 00:08:17,Twitter for iPhone,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,None,7,2017,2017-07,None,Chesapeake_Bay_retriever,2731,18482
890971913173991426,2017-07-28 16:27:12,Twitter for iPhone,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,Jax,7,2017,2017-07,None,Appenzeller,1766,10745
890729181411237888,2017-07-28 00:22:40,Twitter for iPhone,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,None,7,2017,2017-07,None,Pomeranian,16536,59097
890609185150312448,2017-07-27 16:25:51,Twitter for iPhone,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,7,2017,2017-07,None,Irish_terrier,3784,25427
890240255349198849,2017-07-26 15:59:51,Twitter for iPhone,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,7,2017,2017-07,doggo,Pembroke,6410,29013
890006608113172480,2017-07-26 00:31:25,Twitter for iPhone,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13,10,Koda,7,2017,2017-07,None,Samoyed,6432,28001
889880896479866881,2017-07-25 16:11:53,Twitter for iPhone,https://twitter.com/dog_rates/status/889880896479866881/photo/1,13,10,Bruno,7,2017,2017-07,None,French_bulldog,4365,25446
889665388333682689,2017-07-25 01:55:32,Twitter for iPhone,https://twitter.com/dog_rates/status/889665388333682689/photo/1,13,10,None,7,2017,2017-07,puppo,Pembroke,8770,43703
889638837579907072,2017-07-25 00:10:02,Twitter for iPhone,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",12,10,Ted,7,2017,2017-07,None,French_bulldog,3918,24562
889531135344209921,2017-07-24 17:02:04,Twitter for iPhone,https://twitter.com/dog_rates/status/889531135344209921/photo/1,13,10,Stuart,7,2017,2017-07,puppo,golden_retriever,1977,13841
889278841981685760,2017-07-24 00:19:32,Twitter for iPhone,https://twitter.com/dog_rates/status/889278841981685760/video/1,13,10,Oliver,7,2017,2017-07,None,whippet,4659,22923
888917238123831296,2017-07-23 00:22:39,Twitter for iPhone,https://twitter.com/dog_rates/status/888917238123831296/photo/1,12,10,Jim,7,2017,2017-07,None,golden_retriever,3929,26543
888804989199671297,2017-07-22 16:56:37,Twitter for iPhone,"https://twitter.com/dog_rates/status/888804989199671297/photo/1,https://twitter.com/dog_rates/status/888804989199671297/photo/1",13,10,Zeke,7,2017,2017-07,None,golden_retriever,3714,23293
888554962724278272,2017-07-22 00:23:06,Twitter for iPhone,"https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1",13,10,Ralphus,7,2017,2017-07,None,Siberian_husky,3025,17960
888078434458587136,2017-07-20 16:49:33,Twitter for iPhone,"https://twitter.com/dog_rates/status/888078434458587136/photo/1,https://twitter.com/dog_rates/status/888078434458587136/photo/1",12,10,Gerald,7,2017,2017-07,None,French_bulldog,3043,19866
887705289381826560,2017-07-19 16:06:48,Twitter for iPhone,https://twitter.com/dog_rates/status/887705289381826560/photo/1,13,10,Jeffrey,7,2017,2017-07,None,basset,4728,27598
887517139158093824,2017-07-19 03:39:09,Twitter for iPhone,https://twitter.com/dog_rates/status/887517139158093824/video/1,14,10,such,7,2017,2017-07,None,None,10306,42238
887343217045368832,2017-07-18 16:08:03,Twitter for iPhone,https://twitter.com/dog_rates/status/887343217045368832/video/1,13,10,None,7,2017,2017-07,None,Mexican_hairless,9238,30661
887101392804085760,2017-07-18 00:07:08,Twitter for iPhone,https://twitter.com/dog_rates/status/887101392804085760/photo/1,12,10,None,7,2017,2017-07,None,Samoyed,5227,27954
886983233522544640,2017-07-17 16:17:36,Twitter for iPhone,"https://twitter.com/dog_rates/status/886983233522544640/photo/1,https://twitter.com/dog_rates/status/886983233522544640/photo/1",13,10,Maya,7,2017,2017-07,None,Chihuahua,6690,31667
886736880519319552,2017-07-16 23:58:41,Twitter for iPhone,"https://www.gofundme.com/mingusneedsus,https://twitter.com/dog_rates/status/886736880519319552/photo/1,https://twitter.com/dog_rates/status/886736880519319552/photo/1",13,10,Mingus,7,2017,2017-07,None,kuvasz,2783,10885
886680336477933568,2017-07-16 20:14:00,Twitter for iPhone,https://twitter.com/dog_rates/status/886680336477933568/photo/1,13,10,Derek,7,2017,2017-07,None,None,3925,20493
886366144734445568,2017-07-15 23:25:31,Twitter for iPhone,"https://twitter.com/dog_rates/status/886366144734445568/photo/1,https://twitter.com/dog_rates/status/886366144734445568/photo/1",12,10,Roscoe,7,2017,2017-07,pupper,French_bulldog,2774,19238
886258384151887873,2017-07-15 16:17:19,Twitter for iPhone,https://twitter.com/dog_rates/status/886258384151887873/photo/1,13,10,Waffles,7,2017,2017-07,None,pug,5540,25497
885984800019947520,2017-07-14 22:10:11,Twitter for iPhone,https://twitter.com/dog_rates/status/885984800019947520/photo/1,12,10,Jimbo,7,2017,2017-07,None,Blenheim_spaniel,5884,29680
